#{"t_start": 1781094374.7070918, "env_id": "None"}
r,l,t
3.0,1,3.06015
-10.0,1,3.074254
-10.0,1,3.074254
-10.0,1,3.074254
10.0,1,3.074254
-10.0,1,3.074254
-10.0,1,3.074254
-10.0,1,3.074254
10.0,1,3.091631
-10.0,1,3.091631
-10.0,1,3.091631
-10.0,1,3.091631
3.0,1,3.091631
-10.0,1,3.091631
10.0,1,3.091631
-10.0,1,3.091631
-10.0,1,3.108399
-10.0,1,3.108399
-10.0,1,3.108399
3.0,1,3.108399
-10.0,1,3.108399
10.0,1,3.108399
-10.0,1,3.121633
-10.0,1,3.121633
-10.0,1,3.124219
-10.0,1,3.124219
-10.0,1,3.124219
-10.0,1,3.129988
3.0,1,3.129988
-10.0,1,3.129988
-10.0,1,3.129988
-10.0,1,3.138556
-10.0,1,3.138556
-10.0,1,3.138556
-10.0,1,3.138556
-10.0,1,3.138556
-10.0,1,3.138556
3.0,1,3.153523
10.0,1,3.153523
3.0,1,3.153523
-10.0,1,3.153523
-10.0,1,3.153523
-10.0,1,3.153523
-10.0,1,3.153523
-10.0,1,3.153523
-10.0,1,3.153523
-10.0,1,3.170972
-10.0,1,3.173094
-10.0,1,3.173094
-10.0,1,3.173094
-10.0,1,3.173094
-10.0,1,3.173094
-10.0,1,3.173094
10.0,1,3.173094
3.0,1,3.186783
10.0,1,3.188661
-10.0,1,3.190666
3.0,1,3.190666
10.0,1,3.192671
-10.0,1,3.195596
-10.0,1,3.195596
-10.0,1,3.195596
-10.0,1,3.201617
-10.0,1,3.201617
-10.0,1,3.201617
-10.0,1,3.201617
-10.0,1,3.201617
-10.0,1,3.201617
-10.0,1,3.201617
-10.0,1,3.217597
-10.0,1,3.217597
-10.0,1,3.217597
-10.0,1,3.217597
-10.0,1,3.224525
-10.0,1,3.224525
-10.0,1,3.224525
3.0,1,3.224525
10.0,1,3.224525
-10.0,1,3.234864
-10.0,1,3.234864
-10.0,1,3.234864
-10.0,1,3.234864
-10.0,1,3.234864
-10.0,1,3.234864
-10.0,1,3.234864
-10.0,1,3.249376
-10.0,1,3.249376
-10.0,1,3.249376
-10.0,1,3.256546
-10.0,1,3.258551
-10.0,1,3.260556
-10.0,1,3.260556
-10.0,1,3.260556
-10.0,1,3.26541
-10.0,1,3.26541
-10.0,1,3.269164
-10.0,1,3.269164
-10.0,1,3.271171
-10.0,1,3.273176
-10.0,1,3.276247
-10.0,1,3.276247
-10.0,1,3.278252
-10.0,1,3.281263
-10.0,1,3.281263
-10.0,1,3.281263
-10.0,1,3.281263
10.0,1,3.281263
-10.0,1,3.281263
-10.0,1,3.281263
-10.0,1,3.281263
-10.0,1,3.29719
-10.0,1,3.29719
-10.0,1,3.29719
-10.0,1,3.29719
-10.0,1,3.29719
-10.0,1,3.29719
3.0,1,3.29719
-10.0,1,3.29719
-10.0,1,3.313303
10.0,1,3.313303
-10.0,1,3.313303
-10.0,1,3.313303
-10.0,1,3.324577
-10.0,1,3.324577
-10.0,1,3.324577
-10.0,1,3.324577
-10.0,1,3.329074
-10.0,1,3.329074
-10.0,1,3.329074
-10.0,1,3.329074
10.0,1,3.329074
-10.0,1,3.329074
-10.0,1,3.329074
-10.0,1,3.329074
-10.0,1,3.329074
-10.0,1,3.345863
10.0,1,3.345863
-10.0,1,3.345863
10.0,1,3.345863
-10.0,1,3.345863
-10.0,1,3.345863
-10.0,1,3.345863
-10.0,1,3.345863
3.0,1,3.360875
-10.0,1,3.360875
-10.0,1,3.365948
-10.0,1,3.365948
-10.0,1,3.365948
-10.0,1,3.365948
-10.0,1,3.365948
3.0,1,3.37674
-10.0,1,3.377849
10.0,1,3.377849
-10.0,1,3.377849
-10.0,1,3.377849
10.0,1,3.377849
-10.0,1,3.377849
-10.0,1,3.377849
-10.0,1,3.377849
-10.0,1,3.392876
-10.0,1,3.392876
10.0,1,3.392876
-10.0,1,3.392876
-10.0,1,3.399937
-10.0,1,3.399937
-10.0,1,3.399937
-10.0,1,3.399937
-10.0,1,3.408824
3.0,1,3.410076
-10.0,1,3.412081
-10.0,1,3.412081
3.0,1,3.412081
10.0,1,3.412081
-10.0,1,3.412081
-10.0,1,3.424558
-10.0,1,3.424558
10.0,1,3.424558
-10.0,1,3.424558
-10.0,1,3.424558
-10.0,1,3.432178
10.0,1,3.432178
-10.0,1,3.432178
-10.0,1,3.432178
-10.0,1,3.440202
-10.0,1,3.440202
-10.0,1,3.440202
-10.0,1,3.440202
-10.0,1,3.440202
10.0,1,3.440202
10.0,1,3.440202
-10.0,1,3.440202
-10.0,1,3.456056
-10.0,1,3.457295
10.0,1,3.457295
-10.0,1,3.457295
10.0,1,3.457295
-10.0,1,3.457295
-10.0,1,3.457295
-10.0,1,3.457295
-10.0,1,3.47202
-10.0,1,3.47202
-10.0,1,3.477745
-10.0,1,3.477745
-10.0,1,3.477745
-10.0,1,3.477745
-10.0,1,3.477745
-10.0,1,3.487755
10.0,1,3.487755
-10.0,1,3.487755
-10.0,1,3.487755
-10.0,1,3.487755
-10.0,1,3.487755
-10.0,1,3.487755
-10.0,1,3.487755
